"AdjClose.priceSS" "AdjClose.priceSZSA"
"999" 1344.63 NA
"1000" 1348.3 NA
"1001" 1364.06 NA
"1002" 1389.55 NA
"1003" 1385.11 NA
"1004" 1356.79 NA
"1005" 1335.2 NA
"1006" 1340.1 NA
"1007" 1343.62 NA
"1008" 1317.79 NA
"1009" 1319.61 NA
"1010" 1331.05 NA
"1011" 1328.1 NA
"1012" 1316.56 NA
"1013" 1338.87 NA
"1014" 1376.51 NA
"1015" 1361.56 NA
"1016" 1404.01 NA
"1017" 1408.42 NA
"1018" 1411.91 NA
"1019" 1389.1 NA
"1020" 1397.22 NA
"1021" 1432.7 NA
"1022" 1435.31 NA
"1023" 1445.03 NA
"1024" 1452.81 NA
"1025" 1451.12 NA
"1026" 1436.66 NA
"1027" 1443.37 NA
"1028" 1469.42 NA
"1029" 1470.02 NA
"1030" 1470.79 NA
"1031" 1470.36 NA
"1032" 1466.34 NA
"1033" 1453.99 NA
"1034" 1457.3 NA
"1035" 1446.29 NA
"1036" 1492.96 NA
"1037" 1500.64 NA
"1038" 1513.82 NA
"1039" 1512.6 NA
"1040" 1514.78 NA
"1041" 1496.43 NA
"1042" 1511.69 NA
"1043" 1497.04 NA
"1044" 1497.04 NA
"1045" 1517.19 NA
"1046" 1568.35 NA
"1047" 1574.52 NA
"1048" 1587.2 NA
"1049" 1610.13 NA
"1050" 1581.47 NA
"1051" 1618.52 NA
"1052" 1612.68 NA
"1053" 1592.42 NA
"1054" 1586.49 NA
"1055" 1600.43 NA
"1056" 1600.43 NA
"1057" 1600.43 NA
"1058" 1600.43 NA
"1059" 1600.43 NA
"1060" 1600.43 NA
"1061" 1600.43 NA
"1062" 1600.43 NA
"1063" 1600.43 NA
"1064" 1628.84 NA
"1065" 1590.73 NA
"1066" 1623.88 NA
"1067" 1649.28 NA
"1068" 1685.16 NA
"1069" 1693.43 NA
"1070" 1679.19 NA
"1071" 1703.53 NA
"1072" 1691.01 NA
"1073" 1677.76 NA
"1074" 1663.83 NA
"1075" 1658.54 NA
"1076" 1696.83 NA
"1077" 1703.77 NA
"1078" 1717.1 NA
"1079" 1717.02 NA
"1080" 1721.75 NA
"1081" 1681.65 NA
"1082" 1682.3 NA
"1083" 1647.38 NA
"1084" 1654.9 NA
"1085" 1675.07 NA
"1086" 1689.76 NA
"1087" 1687.28 NA
"1088" 1661.81 NA
"1089" 1668.87 NA
"1090" 1662.1 NA
