收盤價	成交量	週轉率	市值比重 本益比	股價淨值比
54.05	281536	1.0868	7.613	12.84	2.95
53.87	196181	0.7573	7.552	12.8	2.94
52.88	211871	0.8179	7.607	11.09	2.88
53.78	210224	0.8115	7.615	11.28	2.93
53.33	169425	0.654	7.494	11.19	2.91
55.04	240226	0.9273	7.48	11.55	3
54.05	265481	1.0247	7.339	11.34	2.95
55.75	287670	1.1104	7.496	11.7	3.26
55.57	187940	0.7254	7.479	11.68	3.25
55.66	163101	0.6296	7.525	11.7	3.25
55.57	186320	0.7192	7.546	11.68	3.25
56.47	234872	0.9066	7.565	11.87	3.3
57.73	224008	0.8646	7.56	10.83	3.38
56.65	153651	0.5931	7.548	10.62	3.31
57.28	199546	0.7702	7.631	10.74	3.35
57.91	156195	0.6029	7.705	10.86	3.39
61.42	383448	1.48	7.811	11.52	3.3
62.68	289724	1.1182	7.884	11.75	3.37
65.56	332043	1.2816	8.154	12.29	3.52
63.67	275904	1.0649	7.883	11.94	3.42
63.85	321577	1.2411	7.797	11.97	3.43
65.2	343253	1.3248	8.343	12.23	3.5
67.27	329023	1.2699	8.426	12.61	3.61
67.09	337249	1.3016	8.415	12.58	3.6
68.61	344090	1.3279	8.423	12.87	3.68
64.21	388279	1.4984	8.315	12.04	3.45
65.65	301739	1.1645	8.277	12.31	3.53
63.4	343635	1.3261	8.219	11.89	3.4
64.57	257823	0.995	7.949	12.11	3.47
