TSMC	TWI
29.29	7557.01
29.63	7501.63
30.42	7612
30.42	7552.98
31.09	7607.11
31.77	7835.37
31.54	7836.94
31.66	7879.91
31.32	7819.09
31.32	7829.39
30.98	7745.26
30.98	7692.96
30.53	7666.64
30.76	7654.9
30.42	7559.63
30.76	7680.87
31.21	7700.29
31.43	7701.22
31.21	7681.85
31.77	7706.67
32.67	7854.85
32.45	7814.89
32.22	7721.59
31.77	7580.09
31.77	7469.23
32	7488.26
31.88	7376.56
31.77	7401.49
32.11	7362.69
32.22	7401.81
33.46	7532.22
34.47	7545.03
34.7	7606.2
34.7	7645.78
34.92	7718.06
34.92	7770.81
35.38	7900.34
35.38	8052.31
35.6	8046.19
34.7	7921.85
34.25	7904.53
32.78	7595.44
33.8	7823.9
33.46	7720.87
33.57	7766.2
33.69	7806.26
34.7	7933.17
35.15	7964.49
34.25	7894.46
33.57	7827.05
32.78	7811.02
32.9	7738.84
32.78	7733.77
33.35	7883.61
33.69	7850.14
33.23	7859.89
32.67	7739.76
33.12	7723.22
33.8	7797.87
33.46	7782.94
34.02	7934.26
34.7	8002.76
35.15	8083.49
36.05	8219.45
38.53	8415.07
37.63	8448.84
40.11	8756.55
41.01	8849.87
40.11	8922.03
38.98	8845.47
40.33	9102.6
39.66	8927.03
40.78	9144.65
40.11	9107.19
41.01	9023.24
42.36	9191.37
42.13	9315.43
41.46	9250.19
41.46	9151.44
41.01	9136.95
41.91	9255.94
42.36	9387.07
43.49	9372.37
46.42	9581.96
46.87	9628.98
45.97	9696.91
45.06	9636.38
45.74	9744.89
45.51	9856.39
47.54	10008.88
48.22	10057.67
49.34	10128.67
48.22	9971.45
48.44	9957.74
47.99	10064.49
47.54	10202.2
46.87	10096.38
46.19	10161.05
43.94	9912.67
43.94	9731.93
43.71	9642.26
43.94	9599.17
44.84	9432.49
45.29	9435.94
46.42	9689.1
45.74	9543.82
45.74	9588.03
45.97	9517.97
45.06	9367.91
44.84	9380.07
44.61	9389.49
45.06	9587.27
43.94	9429.6
41.01	8811.95
41.91	8835.58
41.23	8640.03
41.46	8682.76
42.81	8763.27
41.46	8536.05
43.94	9004.48
43.26	9069.39
45.29	9533.87
44.61	9482.64
47.54	9807.57
47.09	9856.6
45.97	9805.69
46.87	9931.94
46.19	9854.95
47.32	10050.43
46.87	10186.17
